"Product ID","Product Reference","Combination Reference","Attribute Names (Name:Type:Position)","Attribute Values (Value:Position)","Supplier Reference","Supplier Price",ISBN,EAN,UPC,"Wholesale Price","Impact on Price","Impact on Price per Unit",Ecotax,Quantity,"Minimal Quantity","Impact on Weight","Default (0/1)","Available Date","Images (x,y,z…)","Shop ID","Shop name","Custom Column 1","Custom Column 2","Custom Column 3","Custom Column 4","Custom Column 5"
678,,,couleur,ivoire,,,,3100006780320,,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,1,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,naturel,,,,3100006780337,,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,Beige-rose,,,,3100006780344,,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,beige,,,,3100006780351,,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,sable,,,,3100006780368,,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,"demi beige",,,,3100006780375,,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,"beige doré",,,,3100006780382,,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,miel,,,,3100006780399,,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,caramel,,,,3100006780405,,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
678,,,couleur,amande,,,,3100006780412,,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
780,,,Quantité,"Une boîte (5x10ml)",,,,3100078001101,,69.000000,119.000000,13.860000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
780,,,Quantité,"1 ampoule",,,,3100078001132,,0.000000,30.000000,0.000000,0.000000,2,1,0.000000,1,,,1,"Hyaluronic Filler Market",,,,,
781,,,Quantité,"Une boîte (5x10ml)",,,,3100007810989,,57.000000,90.633333,0.000000,0.000000,0,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
781,,,Quantité,"1 ampoule",,,,3100078101016,,11.000000,32.250000,0.000000,0.000000,0,1,0.000000,1,,,1,"Hyaluronic Filler Market",,,,,
6355,,,Quantité,"10 flacons",,,,3100635501273,,99.000000,137.645000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
6355,,,Quantité,"1 flacon",,,,3100635501297,,0.000000,0.000000,0.000000,0.000000,8,1,0.000000,1,,,1,"Hyaluronic Filler Market",,,,,
6363,,,Quantité,"1 flacon",,,,3100636301308,,0.000000,0.000000,0.000000,0.000000,2,1,0.000000,1,,,1,"Hyaluronic Filler Market",,,,,
6363,,,Quantité,"10 flacons",,,,3100636301315,,0.000000,224.090000,0.000000,0.000000,1,1,0.000000,0,,,1,"Hyaluronic Filler Market",,,,,
